INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (10, 'Administration', 200, 1700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (20, 'Marketing', 201, 1800);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (30, 'Purchasing', 114, 1700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (40, 'Human Resources', 203, 2400);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (50, 'Shipping', 121, 1500);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (60, 'IT', 103, 1400);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (70, 'Public Relations', 204, 2700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (80, 'Sales', 145, 2500);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (90, 'Executive', 100, 1700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (100, 'Finance', 108, 1700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (110, 'Accounting', 205, 1700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (120, 'Treasury', NULL, 1700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (130, 'Corporate Tax', NULL, 1700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (140, 'Control And Credit', NULL, 1700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (150, 'Shareholder Services', NULL, 1700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (160, 'Benefits', NULL, 1700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (170, 'Manufacturing', NULL, 1700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (180, 'Construction', NULL, 1700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (190, 'Contracting', NULL, 1700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (200, 'Operations', NULL, 1700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (210, 'IT Support', NULL, 1700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (220, 'NOC', NULL, 1700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (230, 'IT Helpdesk', NULL, 1700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (240, 'Government Sales', NULL, 1700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (250, 'Retail Sales', NULL, 1700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (260, 'Recruiting', NULL, 1700);

INSERT INTO departments (department_id, department_name, manager_id, location_id)
VALUES (270, 'Payroll', NULL, 1700);

